"","CleanName","light","moisture","ph","nitrogen","salt"
"1","Amphibian bistort",7,10,6,6,0
"2","Arrow head",7,11,7,6,0
"3","Azolla",7,11,8,8,0
"4","Bentgrass",7,6,7,6,1
"5","Bind weed",6,5,7,6,0
"6","Bladderwort",7,12,5,3,0
"7","Blanket weed",NA,NA,NA,NA,NA
"8","Bolboschoenus",8,10,8,7,4
"9","Bramble",NA,NA,NA,NA,NA
"10","Branched burreed",7,10,7,7,0
"11","Brooklime",7,10,6,6,0
"12","Bugleweed",5,7,5,5,0
"13","Buttercup",6,5,6,5,0
"14","Carex",NA,NA,NA,NA,NA
"15","Carex large glaucous",7,5,6,2,0
"16","Carex disticha",7,8,6,4,0
"17","Carex large glaucous",7,5,6,2,0
"18","Carex pseudocyperus",7,9,6,6,0
"19","Celeryleaved buttercup",8,8,8,8,2
"20","Clover",NA,NA,NA,NA,NA
"21","Comfrey",6,5,6,6,0
"22","Common spikerush",8,10,6,4,1
"23","Duckweed",7,12,7,5,0
"24","Elodea",6,12,7,6,0
"25","Equisetum",6,7,6,4,0
"26","Fern",NA,NA,NA,NA,NA
"27","Fineleaved water dropwort",7,10,7,6,0
"28","Fools water cress",7,10,7,7,0
"29","Frog bit",7,11,7,7,0
"30","Glyceria",7,10,6,6,0
"31","Glyceria fluitans",7,10,6,6,0
"32","Glyceria maxima",7,10,7,8,0
"33","Grass",NA,NA,NA,NA,NA
"34","Great willow herb",7,8,7,7,0
"35","Heart  shaped floating",NA,NA,NA,NA,NA
"36","Heart  shaped floating proximal",NA,NA,NA,NA,NA
"37","Hemlock water dropwort",7,9,6,7,1
"38","Ivyleaved duckweed",7,12,7,5,0
"39","Juncus",NA,NA,NA,NA,NA
"40","Juncus effusus",7,7,4,4,0
"41","Juncus subnodulosus",8,9,8,4,0
"42","Marsh Marigold",7,9,6,4,0
"43","Marsh ragwort",7,8,6,5,0
"44","Marsh bedstraw",7,9,5,4,0
"45","Marsh birds foot trefoil",7,4,6,2,1
"46","Marsh Stitchwort",7,8,6,4,0
"47","Meadow sweet",7,8,6,5,0
"48","Moneywort",5,7,5,5,0
"49","Nettle",6,6,7,8,0
"50","Phragmites",7,10,7,6,2
"51","Pink water speedwell",8,10,7,8,0
"52","Pulicaria dysenterica",7,7,7,4,0
"53","Purple loosestrife",7,9,7,5,0
"54","Redleg",7,6,6,7,0
"55","Reed canary grass",7,9,7,7,1
"56","Softstem bulrush",9,10,8,7,3
"57","Starwort",NA,NA,NA,NA,NA
"58","Teasal",NA,NA,NA,NA,NA
"59","Thistle",7,4,8,5,0
"60","Tubular water dropwort",7,9,7,6,0
"61","Typha",8,10,7,7,0
"62","Unidentified umbellifera",NA,NA,NA,NA,NA
"63","Water chickweed",6,7,6,7,0
"64","Water cress",7,10,7,7,0
"65","Water dock",7,10,7,6,0
"66","Water dropwort filamentous leaves",7,10,7,6,0
"67","Water mint",7,8,7,5,0
"68","Water parsnip",7,10,7,7,0
"69","Water plantain",7,10,7,7,0
"70","Water violet",7,11,7,5,0
"71","Willow herb",6,7,5,5,0
"72","Woody night shade",7,8,7,7,0
"73","Wormwood",7,4,7,9,0
"74","Yellow flag",7,9,6,6,1
