Site,Year,Season,CW_Light,CW_Moisture,CW_pH,CW_Nitrogen,CW_Salt
81,2009,2,5,9,5,4,0
81,2009,3,6,10,6,5,0
81,2010,1,7,11,7,5,0
81,2010,2,7,12,7,5,0
81,2010,3,0,0,0,0,0
81,2011,1,4,5,3,3,1
82,2009,2,3,6,3,2,0
82,2009,3,6,11,6,5,0
82,2010,1,1,2,1,1,0
82,2010,2,5,8,5,4,0
82,2010,3,4,4,4,4,0
82,2011,1,1,1,1,1,0
83,2009,2,7,11,7,5,0
83,2009,3,7,11,7,5,0
83,2010,1,7,12,7,5,0
83,2010,2,NaN,NaN,NaN,NaN,NaN
83,2010,3,1,1,1,1,0
83,2011,1,2,3,2,2,0
84,2009,2,7,12,7,5,0
84,2009,3,5,8,5,4,0
84,2010,1,2,4,2,2,0
84,2010,2,0,0,0,0,0
84,2010,3,2,3,2,2,0
84,2011,1,1,1,1,1,0
85,2009,2,6,10,6,5,0
85,2009,3,6,10,6,5,0
85,2010,1,4,6,4,3,0
85,2010,2,3,4,3,3,0
85,2010,3,5,7,5,4,0
85,2011,1,2,3,2,2,0
86,2009,2,4,6,4,3,0
86,2009,3,5,7,5,4,0
86,2010,1,5,7,5,4,0
86,2010,2,7,9,6,5,0
86,2010,3,6,7,5,5,0
86,2011,1,4,5,4,3,0
87,2009,2,6,11,6,5,0
87,2009,3,7,11,6,5,0
87,2010,1,6,10,6,5,0
87,2010,2,6,9,6,6,0
87,2010,3,7,10,7,7,0
87,2011,1,5,7,5,4,0
88,2009,2,4,6,4,3,0
88,2009,3,7,10,6,6,0
88,2010,1,5,8,5,4,0
88,2010,2,3,4,3,2,0
88,2010,3,6,8,6,5,1
88,2011,1,5,7,5,4,1
89,2009,2,5,9,5,4,0
89,2009,3,6,8,5,4,0
89,2010,1,7,9,6,5,0
89,2010,2,7,9,6,6,0
89,2010,3,7,9,7,6,0
89,2011,1,6,8,5,5,0
9,2009,2,3,5,3,3,0
9,2009,3,4,7,4,3,0
9,2010,1,4,7,4,4,0
9,2010,2,3,5,3,3,0
9,2010,3,4,6,4,4,0
9,2011,1,5,7,5,4,0
91,2009,2,5,8,5,4,0
91,2009,3,5,8,5,4,0
91,2010,1,3,4,3,2,0
91,2010,2,2,3,2,2,0
91,2010,3,3,4,3,3,0
91,2011,1,5,8,5,3,0
92,2009,2,5,8,5,4,0
92,2009,3,6,10,6,5,0
92,2010,1,4,6,4,3,0
92,2010,2,2,3,2,2,0
92,2010,3,3,4,3,3,0
92,2011,1,6,10,6,4,0
93,2009,2,6,10,6,4,0
93,2009,3,6,11,6,5,0
93,2010,1,5,9,5,4,0
93,2010,2,0,0,0,0,0
93,2010,3,0,0,0,0,0
93,2011,1,6,11,6,5,0
95,2009,2,7,11,7,5,0
95,2009,3,7,11,7,6,0
95,2010,1,5,9,5,4,0
95,2010,2,6,8,6,6,0
95,2010,3,5,7,5,5,0
95,2011,1,6,10,6,4,0
96,2009,2,5,7,4,4,0
96,2009,3,7,10,7,7,0
96,2010,1,3,4,3,2,0
96,2010,2,3,4,3,3,0
96,2010,3,6,7,5,5,0
96,2011,1,6,10,6,5,0
97,2009,2,6,10,6,5,0
97,2009,3,7,11,7,6,0
97,2010,1,6,10,6,5,0
97,2010,2,7,8,6,5,0
97,2010,3,7,9,7,6,0
97,2011,1,6,9,6,4,0
98,2009,2,3,6,3,3,0
98,2009,3,6,9,6,5,0
98,2010,1,4,6,4,3,0
98,2010,2,7,9,7,6,0
98,2010,3,5,7,5,4,0
98,2011,1,6,9,6,4,0
