ID,CleanName
1,Duckweed
2,Ivyleaved duckweed
3,Frog bit
4,Azolla
5,Blanket weed
6,Elodea
7,Carex
8,Carex disticha
9,Carex large glaucous
10,Carex pseudocyperus
11,Glyceria
12,Glyceria fluitans
13,Glyceria maxima
14,Juncus
15,Juncus effusus
16,Juncus subnodulosus
17,Typha
18,Yellow flag
19,Yellow Flag
20,Amphibian bistort
21,Arrow head
22,Bare mud
23,Bentgrass 
24,Bind weed
25,Bladderwort
26,Bolboschoenus
27,Bramble
28,Branched burreed
29,Bugleweed
30,Buttercup
31,Celeryleaved buttercup
32,Clover
33,Comfrey
34,Common spikerush
35,Equisetum
36,Fern
37,Grass
38,Marsh bedstraw
39,Marsh birds foot trefoil
40,Marsh ragwort
41,Marsh Stitchwort
42,Meadow sweet
43,Moneywort
44,Nettle
45,Phragmites
46,Pink water speedwell
47,Pulicaria dysenterica
48,Purple loosestrife
49,Reed canary grass
50,Softstem bulrush
51,Starwort
52,Teasel
53,Thistle
54,Fineleaved water dropwort
55,Hemlock water dropwort
56,Tubular water dropwort
57,Water dropwort  filamentous leaves
58,Water chickweed
59,Water dock
60,Fools water cress
61,Water cress
62,Water mint
63,Water parsnip
64,Water plantain
65,Water violet
66,Willow herb
67,Great willow herb
68,Woody night shade
69,Wormwood
70,Redleg
71,Heart  shaped floating proximal
72,Heart  shaped floating
73,Brooklime
74,Marsh Marigold
75,Marsh Marigold distal
76,Unidentified umbellifera
