"","RMSE","SR2","O.AUC","O.TjurR2","O.RMSE","C.SR2","C.RMSE"
"1",1.13234765826636,0.0644646938101711,0.5,0,0.93038970329642,0.0946938244319534,2.95921059697703
"2",4.92843039233669,0.139997520314874,0.5,0,0.942072184070839,0.0921562573002627,13.5125902225403
"3",82.4008089091882,0.0163059817838014,0.5,0,0.948683298050514,0.0776425615030965,260.48099065823
"4",63.3959313207595,0.107294610215394,0.5,0,0.935414346693485,0.100591224251255,178.033525687974
"5",11.1640718604933,0.188994675629628,0.5,0,0.858778201865883,0.0523824064866748,21.7238178306315
"6",1.16239428701072,0.0516663282947523,0.5,0,0.897914249803399,-0.0274896538566151,2.49482987335581
"7",2.28828833049785,0.124062529788331,0.5,0,0.855131568824353,0.00512856974827162,4.20166738349293
"8",3.16809896288969,0.205081350141407,0.5,0,0.860595723902925,0.00564340046155698,6.09163810179663
"9",0.524422487443366,0.00895607514386268,0.5,0,0.973075022801428,-0.0215736040609137,2.22878823927448
"10",0.494720323526596,0.007883859061386,0.5,0,0.984250984251476,-0.113636363636364,2.78436805431884
"11",0.201761845843477,0.00317187335241028,0.5,0,0.984250984251476,0.0841750841750842,1.10737389924432
"12",1.66990332469592,0.0179644007510882,0.5,0,0.961769203083567,0.213367000710171,6.05943609287794
