"","RMSE","AUC","TjurR2"
"1",0.332077239673354,0.730920997397364,0.079223485280757
"2",0.279850846122873,0.875978090766823,0.218136177743254
"3",0.285437603076342,0.760091145833333,0.0938188824896459
"4",0.306359824981775,0.829642857142857,0.150334469951675
"5",0.377534857388643,0.85179580306699,0.276010877790377
"6",0.380250722515424,0.741685421355339,0.111399392755705
"7",0.401991133154631,0.786722321606042,0.200068700531505
"8",0.360221782019503,0.869706674800468,0.326407129413402
"9",0.220544355190544,0.774606872451951,0.0666591906669481
"10",0.174897089427428,0.746129032258064,0.0294514894110642
"11",0.174575180748156,0.695483870967742,0.0169669136461604
"12",0.253357072390836,0.789977477477477,0.0835733137856017
