"","an_maculipennis","an_claviger","cx_pipiens","cs_annulata","water_boatman","water_beetle_larva","water_beetle","damselfly_larva","dragonfly_larva","saucer_bug","water_scorpion","gammarus"
"Cover",0.0572074630476204,0.0655286312854482,0.00735799577458203,0.00634311249557461,0.068316723277962,0.102075173441702,0.119026402061699,0.268683256410788,0.0810701328347342,0.0605132885632095,0.186512640079131,0.161225799953362
"Shaded",0.0418142507072302,0.365096933987964,0.0174997076270257,0.0461844743572921,0.0311299562126301,0.0240278393102023,0.015120755850265,0.0404896470657412,0.0561355040851362,0.0608576163335963,0.0543577978335367,0.0541773190103748
"Manage",0.0275046087032381,0.0144521119536392,0.0120921284864544,0.00823578851054785,0.010960072555281,0.0198031834381903,0.0154240800109032,0.0147360072891585,0.0277364264392236,0.0358230631765466,0.0605959613607073,0.0183567764901182
"Width",0.0596113721863836,0.199300305268107,0.0360182533240335,0.0561938584925609,0.0349977113130241,0.0690184287879356,0.0230560944190803,0.0132245940145361,0.0812849036785636,0.076006883987385,0.0511021219492172,0.038022765485539
"Temp",0.264948224420738,0.141195706632504,0.0496653941845064,0.0268715518364735,0.0707981947793177,0.0731912190207694,0.0544334037394195,0.0463837116377332,0.0948348197334473,0.166307040989288,0.152782071823392,0.075773544281886
"Oxygen",0.12623918033353,0.0830960713318818,0.0323847700889073,0.0495200581963111,0.0392449434194002,0.0765015797324883,0.0541187537964729,0.0370524884879341,0.11590080863536,0.138002293828242,0.12775684572058,0.0937694707956116
"pH",0.0668913542061278,0.0264753400988847,0.0630339833072166,0.0508914574202347,0.10364054612069,0.0395136205169169,0.0368134584977066,0.0210344947309075,0.0588384814969198,0.144892730129832,0.0904043418687007,0.0356403833482322
"Random: plot_id",0.0777954662900634,0.0560141626538481,0.735911384228709,0.7300219785528,0.187573528673611,0.300064544727746,0.367153446559736,0.327404563033288,0.240270309218321,0.0785526100466443,0.0869509821349626,0.425270681019111
"Random: season",0.22462042302341,0.0215188386015993,0.0358183807260865,0.0189590945774027,0.0176115625518507,0.0428061857556957,0.0638547327013837,0.0679343473545685,0.106215367192793,0.0717622687061939,0.0951919932059453,0.0428249149178736
"Random: year",0.0533676570816574,0.0273218981861226,0.0102180022524784,0.00677862556080368,0.435726761096233,0.252998225268355,0.250998872363334,0.163056889975344,0.137713246685499,0.167282204239064,0.0943452440238271,0.0549383446978929
"TjurR2",0.106236924392128,0.260775060886061,0.284674622284197,0.454005057356722,0.332931150045645,0.157403568678247,0.253231364891514,0.402404511655213,0.117238997826214,0.0602055242599042,0.0436639790266561,0.149232661937715
